ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-btn__text
2,/10,https://www.imdb.com/review/rw9002216/?ref_=tturv_perm_11,The worst start to a Marvel Phase ever.,,116,30,Avwillfan89,https://www.imdb.com/user/ur22066568/?ref_=tturv_usr_11_t,18-Apr-23,Spoiler
8,/10,https://www.imdb.com/review/rw8880950/?ref_=tturv_perm_12,70s style sci-fi weirdness,"A lot of sci-fi these days worries about being grounded more in known science. Concerned with being picked apart by the internet and Neil deGrasse Tyson. I really enjoyed that Quatumania does more of that old school 70s style weirdness while still having things that hint at the science that inspired it. There are crazy creatures, landscapes and communities all over the place. It put me in the mind of something like 'Flash Gordon'(1980) and that's exactly what I've been hoping for from an Ant-man film.It's not Oscar bait, but it's fun with a cool world that they play in. The cast is entertaining and Johnathan Majors especially, is fantastic as Kang. The film does start to tie all the strings Marvel has been placing together. Which gives what is a popcorn flick a bit more weight.All in all, for me it was what I expected and hoped for.Note: there are two end credits scenes.",7,1,jharbert-47785,https://www.imdb.com/user/ur155974843/?ref_=tturv_usr_12_t,19-Feb-23,
6,/10,https://www.imdb.com/review/rw8878785/?ref_=tturv_perm_13,Another marvel movie that refuses to take itself serious,,71,32,amooorales,https://www.imdb.com/user/ur26373760/?ref_=tturv_usr_13_t,18-Feb-23,Spoiler
4,/10,https://www.imdb.com/review/rw8875000/?ref_=tturv_perm_14,The Midcu Continues With Another Flop,,366,117,MamadNobari97,https://www.imdb.com/user/ur45507551/?ref_=tturv_usr_14_t,16-Feb-23,Spoiler
7,/10,https://www.imdb.com/review/rw8875320/?ref_=tturv_perm_15,"Big Ideas, Small Story","Ant-Man's 3rd solo outting. Doubling down on the sci-fi elements of the MCU. Overall the humor was like the rest of the previous movies. The cast was all stellar. Doesn't really dive that deep into Kang's story, but what we did get was sufficient. Johnathan Majors portrayal was excellent, just wish he had more substance to work with. The visual effects were definitely spotty. Blue screen overload, wish they took more time blending in the effects with with actors. This leads into Modok, as a concept. I didn't mind his backstop changing, just wish they went more practical with his design. Overall Quantumania was a pretty fun movie, but for setting the tone of ""PHASE 5"", Marvel will definitely need to step up their storytelling, and start getting more into detail with these characters, and concepts.",189,103,dmoorejr,https://www.imdb.com/user/ur61394704/?ref_=tturv_usr_15_t,17-Feb-23,
7,/10,https://www.imdb.com/review/rw8891523/?ref_=tturv_perm_16,Great fun,"I'm not sure if all the negative reviews I've heard about are just to try and trash the films or if I just went in with low expectations because if them but I really enjoyed this,I found it really funny and beautifully weird.its in no way one of the best marvel films but it's definitely above average and it was nice to have a decent marvel film again after the disappointing wakanda forever.the cast are great,Paul Rudd is perfect as Antman and is always fun to watch,Modok was a brilliant addition and executed perfectly.this was a nice start to phase 5 and I'm looking forward to guardians of the galaxy 3 next,ignore the reviews,even mine,just give it a watch and make your own mind up.",5,0,scottleerobinson,https://www.imdb.com/user/ur98548094/?ref_=tturv_usr_16_t,25-Feb-23,
7,/10,https://www.imdb.com/review/rw8873180/?ref_=tturv_perm_17,Kang pulled his punches?,"Quantum Mania takes the MCU deeper into the quantum realm and presents us a real first taste of Kang the Conqueror. Thanos and his Infinity War are now part of the past in a timeline that has been upended by the discovery of the multiverse. The hype surrounding Ant-Man and the Wasp 2(?) seemed impossible to meet. The same weight was put on the Multiverse of Madness which cracked under the pressure of expectation. Unfortunately, QuantumMania suffers the same fate. Kang is intimidating, powerful and compelling but has been muzzled and restrained by a screenplay that lacks courage and risk when it mattered. Majors is fantastic as the character and I can't wait to see him develop this character and other variants further. However, I can't help but see a missed opportunity here to plant Kang like a unavoidable tree in the multiverse saga. It feels like Marvel prefers to put all their eggs in the basket of Loki season 2 rather than a feature film.It's not all bad though. On the contrary. The film is often times charming, engaging and genuinely funny. It has some fantastic set pieces with inconsistent CGI which has become the new norm for Marvel as of late. Our main cast of characters are solid, though I can't help but feel Hope has been left by the wayside here. Quantum Mania is a solid entry in the MCU but lacks any weight to be memorable or revolutionary. It had a great opportunity to shock and surprise but chose to play it safe and missed out on some great potential.",158,108,glennmeerten06,https://www.imdb.com/user/ur54651770/?ref_=tturv_usr_17_t,15-Feb-23,
7,/10,https://www.imdb.com/review/rw8888265/?ref_=tturv_perm_18,"It's okay for a standalone movie, but for setting up Phase 5. . .","Let's start out with this, I had no big expectations for this Marvel film like I did with Black Panther: Wakanda Forever, and there was a reason why. I wasn't expecting much from this movie, plus I wasn't a big Ant-Man fan to even begin with . . . The previous Ant-Man movies didn't leave much lasting impressions on me, and I was meh about the whole series and the superhero in genreal. So when I heard that this movie was coming out, well of course I was going to see it opening weekend just so I could be on top of the game of seeing it, and not being ruined by the movie. I wasn't seeing this because I was really interested into it . . . Not really, anyhow. But after watching this movie twice in theaters the same day, I can say this: it falls short of what I was hoping it would be, but it deliver a solid set up for Phase 5!I'm not really into the Multiverse, Time Variants, and the Quantum Realm because they just make not only my heard hurt just thinking too much of them, but it makes the MCU timeline even more confusing (than it should be). So to begin with, I wasn't into the Quantum Realm so I could care less if they explored it or not, or if they got trapped in it or not. It was just another big expansion on the MCU side just to get more revenue in, is how I see it. But after watching this movie, I guess you could say it got me to enjoy the Quantum Realm a tad bit better, and fully appreciate all the bright visuals and colors they did to make the Quantum come alive. I mean, beautiful world an all, but I could still care less.This movie sets up not only Phase 5 very well, but the villain for it quite amazingly! If you're like me, you could agree that Phase 4 was a very weak and if I'm going to be honest, a bit unneeded Phase. The only two movies that carried the whole Phase 4 on its back was Spider-Man: No Way Home and Black Panther: Wakanda Forever. No other mentionable movie that was released during Phase 4 made the best impression (although: Doctor Strange 2 could make it). So after an exhaustable Phase 4, we finally move on to I hope a better Phase, Phase 5. Now look, if Marvel/Disney does this right, Phase 5 could be the most interesting Phase since Phase 3!Ant-Man and the Wasp: Quantumania by itself was a decent, average movie that had its moments while also having their cringy moments also. But for the beginning/start-up of Phase 5, not going to lie: it sets up Phase 5 very well. We get introduced to not exactly the most menacing/mean villain of all time, but it's the powers he has and its the other variants of him that just may make Phase 5 villain(s) the most interesting to watch . . . To see how Marvel and Disney unfolds his intentions, his powers, and the affect he'll have in the MCU timeline (that is, if they do it right of course). Kang was an interesting villian in this movie . . . He was played by a Johnathon Majors who actually did a great job, so I'm excited to see more of him in later Marvel films. Johnathon Majors has potential in the MCU, and if Marvel and Disney does it right, it may just be the biggest role Johnathon has played in his movie career . . . Or it could be the somewhat of a downfall, just depending on how Marvel and Disney plays out Kang.But Ant-Man just being a standalone movie in its series does farily alright. I think the beginning struggled to catch my attention. I think the first time watching it I was just waiting for Kang to appear on the screen, and kind of caring less of what playing at the moment. People/Critics alike raved about Johnathon Majors' performance, so of course I wanted to see if hey did actually a good job . . . And after watching it, I think he did a great job! But this movie has some interesting points that they brought to the table; maybe I could have taken the whole thing serisously if the 3rd act of the movie didn't just go a bit out of hand. I felt like the 3rd act of the movie was the downfall of the movie. It's just got a bit out of hand and that cringy speech in that movie didn't help at the least.The 1st and 2nd act were interesting enough, but my favorite moments were when we were trying to understand the villian Kang a bit more. He was easily the best part about the movie, and outshadowing everyone's elses role in the movie, and not lying here. He's just a villian we have never gotten before, so I'm interested on how they're going to handle Kang, and he might be one of my favorite villians that has been brought to big screen. The other characters in the movie that weren't main characters like Scott and Hope, were more or less so unmemorable and they were in the shawdows in a lot of the movie. So basically, any characters in the movie that didn't have a big role were sidelined people who were underused in the movie.M. O. D. O. K. Was the worst character in the movie and also one of the most unneeded too. I struggled to comprehend/digest him fully, and to be honest I could really care less about him. He wasn't an annoying character, he was just one that made me question why we even have him in the movie to begin with. But besides that character, this movie undergoes a lot of underused characters, and more or less put them in the shadows. Really unfortunate that we didn't get to understand these people in the Quantman Realm more.Besides some questionable choices for the movie, a cringy speech, a 3rd act getting a bit out of hand, characters being underused, and a character not needed, this movie is a bit solid. For being a standalone Ant-Man movie it was okay, but for setting up Phase 5 and its villian, it did a great job! It was a movie that I enjoyed more on my secondtime and understood more. It's not I would want to see over and over, but it's one that I'm glad I saw how they setted up Phase 5!",11,3,chgames-28385,https://www.imdb.com/user/ur135574361/?ref_=tturv_usr_18_t,23-Feb-23,
4,/10,https://www.imdb.com/review/rw8905852/?ref_=tturv_perm_19,Endless Trash,,110,31,Chance_Boudreaux19,https://www.imdb.com/user/ur57999530/?ref_=tturv_usr_19_t,4-Mar-23,Spoiler
7,/10,https://www.imdb.com/review/rw8878407/?ref_=tturv_perm_20,Could have been a little better,"The movie isn't as bad as people say and it definitely is better than most of the movies we've seen in phase 4. The story was too simple that focussed heavily on setting up future projects, rather giving more focus to the characters.Jonathan Majors nailed his role as Kang and the visuals were stunning. However, it appears Marvel hasn't learnt anything from their usual formula of forced humour, as this movie had quite a lot, even in scenes that didn't require it.Overall, its a good film to watch in theatres for the visual representation and for the post-credits scene. It is a great Ant-Man movie, but a not great Marvel movie.",32,21,Roscorox616,https://www.imdb.com/user/ur162458231/?ref_=tturv_usr_20_t,18-Feb-23,
4,/10,https://www.imdb.com/review/rw9004574/?ref_=tturv_perm_21,Storywise - Just No,"No wonder all those ""creative"" people in so called creative businesses and crafts are afraid of AI - no doubt, in the not too distant future, AI will do the work - cheaper and better than humans can do. At least if Ant-Man and the Wasp: Quantumania and such movies (and books, comics, whatever, quantity beats quality these days - in all fields) are the best human mind can come up with. The first Ant-Man movie was a nice one, the second one was okay, but if you take away all the (finally by computer generated) visuals and effects, there is maybe enough story left in this third chapter to employ two or maybe three and a half brain cells of the viewer. The rest of the neural network goes quickly into stand by and sleep mode. I like the production and a few scenes, this is the only reason why this one does not crash totally. But in the end, this is at best mediocre and sometimes even really bad.",157,54,Tweetienator,https://www.imdb.com/user/ur64264987/?ref_=tturv_usr_21_t,19-Apr-23,
8,/10,https://www.imdb.com/review/rw8881176/?ref_=tturv_perm_22,Ant-Man And The Wasp: Quantumania,"This movie was great. The cgi gave me a little bit of a headache but not a migraine or anything. Also this movie is more serious instead of funny. They have jokes in the movie every now and then, but not so much. I don't really like how they handled
M. O. D. O. K. But he was funny and has an exciting return from a previous character. Kang is really scary and disturbing. There is two bonus scenes in total. One of them is a great way to show the future of the multiverse saga and the second one made me jump out of my seat because I was so happy. This film was a great way to open up phase five.8/10.",17,7,galaxytitan-66249,https://www.imdb.com/user/ur152233990/?ref_=tturv_usr_22_t,19-Feb-23,
7,/10,https://www.imdb.com/review/rw8890335/?ref_=tturv_perm_23,It slowly gets better,"This is a great introduction to what Kang could really do for the future of the MCU. The movie starts off a bit slow with some jokes that feel forced. However, the storyline really starts to pick up in the second half.For the most part, the acting was really good with great performances with from the main cast of the movie. However there are cameos in this movie that seem like a money grab.The visuals and effects portrayed in the movie stand out more than most marvel movies in the past. There were scenes that would leave you ""wow"" but also ones that are uneccesary.Overall the plot of the movie was just alright. This isn't something memorable but if you're a marvel fan would leave you excited for the future of the MCU.",9,3,jaysonjats,https://www.imdb.com/user/ur123035382/?ref_=tturv_usr_23_t,24-Feb-23,
5,/10,https://www.imdb.com/review/rw8873154/?ref_=tturv_perm_24,One word: Disappointing,"I looked forward to Kang joining the Antman trilogy and I was very excited what they are going to make with him, so I went to the first possible screening of the movie and yup it wasn't good...So to start with good things, Jonathan Majors was great as Kang. He is just a talented actor just as Micheal Douglas as Hank Pym. But that's pretty much it...The movie feels like a cheap and bad copy/mix of Ready Player One and Guardians of the Galaxy 2, and I am a person who loves both of the movies. The movie introduces us a character, who we know (I won't spoil who), in a new form which makes this character with high potential to a ridiculous character about we only laugh! I mean, common Marvel, you don't have to make everything a joke.So if you ask me if the movie is better then the first two? Definitely not.",373,148,ItsRobinTV,https://www.imdb.com/user/ur154814932/?ref_=tturv_usr_24_t,15-Feb-23,
7,/10,https://www.imdb.com/review/rw8911700/?ref_=tturv_perm_25,Good movie.1 Time watchable,"I am a marvel fan. Iron man to ant man the wasp all movie i watched. Every marvel movies are very good. But now a days i dont feel like those 2010-2020 years movies of marvel. Avangers movies are another level entertainment. But this movie also good. Movie like iron man, captain america,, avangers infinity war i watched them 3-4 times. Thats movies are attractive for me. But nowadays some marvel movies like antman not have old marvel movies vipes. A man who never watched marvel movies,, this movie are very very enjoying movie for him. But a marvel fan alltime wants avengers types movies where every marvel superhero fight to save the planet.",9,3,rokib99,https://www.imdb.com/user/ur162990450/?ref_=tturv_usr_25_t,7-Mar-23,
6,/10,https://www.imdb.com/review/rw8992453/?ref_=tturv_perm_26,middling superhero flick,"Scott Lang (Paul Rudd) has been basking in his Avengers fame. Unbeknownst to him, his daughter Cassie (Kathryn Newton) has been working with Hope (Evangeline Lilly) and Hank (Michael Douglas) to explore the Quantum Realm. They all get pulled down into the realm. Janet (Michelle Pfeiffer) had hidden her lost time there spent with supervillain Kang The Conqueror (Jonathan Majors).Critical response seems to be middling or worst. I am more in the middling camp. I still really like Scott Lang and Paul Rudd's humor. He remains the best of this section of the MCU. One does question whether he is the one to introduce the big bad of Phase 4. He is the comic relief. He shouldn't lead the universe. I think that it should be Loki. His TV show is what introduced Kang anyways and he could be the unlikely heroic lead. The MCU is becoming unbalanced as the TV shows are overshadowing its supposed superior theatrical releases.As a movie, this feels trapped in the CGI strange world of superhero green screen. It's too chaotic at times. Most of it is super CGI. Kathryn Newton is the new hottie which is a strange thing to say. I miss the baby-faced cutie of the original Cassie. I don't like Janet in this one. Michelle Pfeiffer is stuck in playing the troublesome character. After some time, I realized that she needs to be separated from Hank. They could be arguing over the experiment when it goes off. She is just set up wrong. At the end of the day, this is a pretty simple story and it's the modern-day standard for the superhero movie. It needs more of Ant-Man's humor. He's forced to introduce the next big bad of the new phase which shouldn't be his job.",2,1,SnoopyStyle,https://www.imdb.com/user/ur2898520/?ref_=tturv_usr_26_t,14-Apr-23,
5,/10,https://www.imdb.com/review/rw9123047/?ref_=tturv_perm_27,"'Taint Funny, Magee","So, Michael Douglas and daughter Evangeline Lilly have been working on a sort of drone to explore the Quantum Realm, without telling Michelle Pfeiffer -- only fair, since she never bothered to tell them what she had been doing for two or three decades in the Quantum Realm. When she discovers this, Miss Pfeiffer tries to stop them, but too late! They're sucked into the Quantum Realm, along with Paul Rudd and his daughter, Kathryn Newton. The Quantum Realm is now perfectly habitable, but there's a universe-conquering villain which links into what Miss Pfeiffer was doing all those years, and....Doesn't really matter. What matters is that this series within the Marvel Cinematic Universe was good because of the sense of humor of the creators, and that's all gone. It's now CGI worlds being destroyed by CGI explosions, and somehow the good guys attacking the villain and his forces are well matched so the fighting goes on and on. Eh.",2,1,boblipton,https://www.imdb.com/user/ur1617546/?ref_=tturv_usr_27_t,15-Jun-23,
6,/10,https://www.imdb.com/review/rw9010641/?ref_=tturv_perm_28,Ant-Man and the Wasp: Quantumania,"Given Disney's takeover of 20th Century Fox meant they got an insight of the expanding world of James Cameron's new Avatar movie.Quantumania is very much set in a CGI heavy multiverse. Ant-Man begins in a lighthearted way until Scott Lang (Paul Rudd) has to spring his teenage activist daughter from the police cells.It seems Cassie (Kathryn Newton) has been working with Hope (Evangeline Lilly) and Hank (Michael Douglas) to explore the Quantum Realm with a newly built device. This is bad news as far as Janet (Michelle Pfeiffer) is concerned. She spent decades inside there and has harboured some secrets about it.Before the latest experiment is shut down, they are transported inside the weird, wonderful psychedelic world of the Quantum Realm. They meet an old friend of Janet, Lord Krylar (Bill Murray.)Now things have changed, everyone is afraid of Kang The Conqueror (Jonathan Majors.) He once saved Janet until she found out what kind of person he really was.Ant-Man and the Wasp: Quantumania is light and frothy. It has all the nourishment value of a McDonalds Thick Shake. It is CGI heavy made in the new fangled virtual production StageCraft set.The story is very much the kind of seen it before in superhero movies. I even knew it would have an offbeat intro and song before the movie started.The film introduces Kang but this all powerful enemy underwhelmed in his main outing.",3,2,Prismark10,https://www.imdb.com/user/ur4569900/?ref_=tturv_usr_28_t,22-Apr-23,
9,/10,https://www.imdb.com/review/rw8879025/?ref_=tturv_perm_29,Back to the roots,"No pun intended - also probably not really true to call it roots. Not entirely - but that is why I go with puns. Hopefully to give a bit of joy and entertainment, while also having a deeper cut. Not too deep mind you - most of the time. And that is how you should experience this too. On an Imax screen if possible, but with an open mind (even more important).The movie works - not because it without flaws. Not because it makes sense (probably not even all the inner logic is ... tight) ... but because it is fun. And all that without Michael Pena! I won't say who is in this - you either know or you will find out. The movie begins with Ant Man reintroducing himself to us. If you have forgotten who he is - or if you haven't seen any other movie yet. It makes sense to be up to date ... but it is not necessary. And it is what makes this even more fun.The movie also channels a lot of Science Fiction ... well movie history before. It's not that Star Wars did not steal .. sorry, homaged other Science Fiction stuff, so if you see Star Wars here ... if you see Pixars lamp here (I'm quite sure I am not the only one who does), if you think of Lord of the Rings when you hear the tower line ... heck even the ""get to the chopper"" line can be spotted ... well tweaked and all that. But still if you look hard enough ... there is a lot to enjoy.And the movie has quite a few things to entertain the adults too. Not just the hints to the past of Michelle Pfeifers character (she had needs too), but also the use of curse words. Even with a ""holy"" in front of it, it did surprise me to hear the s word twice in the movie. I was not offended and I would hope no one else was.And I have not even gotten into the story - into the plot of the movie. It works as I already wrote without any prior knowledge ... it does link to other things though ... and the post credit scene especially is a foreshadowing of the best kind ... some even call it one of the best post credit scenes Marvel has done yet. You decide ... one thing is for sure, if you suspend your disbelief and just go with the flow ... the cast is fun enough to make you forgive its missteps ... be it almost botched character arcs ... jokes that may or may not work with you ... and the overall tone of the movie.A tone that switches - the same way Jonathan Majors seems to be able to switch. What a great find for the MCU - charismatic, yet able to draw you in. Maybe he is not that bad after all? But isn't the devil the most charming of them all? Or at least that is what they say ... while Christian Bale gathered a lot of praise for his Thor villain ... Kang is here to stay - I had to do at least one more pun and you know it.Ant Mans daughter who is recast for the movie - she seems to have a bright future ahead of her. There is a lot of rumor going around about the MCU and their planning for the future ... and the future is for the young ones ... isn't it? So sit back, relax and enjoy this movie that (re)intoduces us to Kang ... and if you are not Comic Book savvy ... don't worry, you won't be left behind ... no pun intended to close it all up.",6,20,kosmasp,https://www.imdb.com/user/ur5876717/?ref_=tturv_usr_29_t,18-Feb-23,
8,/10,https://www.imdb.com/review/rw8902683/?ref_=tturv_perm_30,There is always room to grow,,10,14,nogodnomasters,https://www.imdb.com/user/ur77881167/?ref_=tturv_usr_30_t,3-Mar-23,Spoiler
7,/10,https://www.imdb.com/review/rw8878215/?ref_=tturv_perm_31,"Yeah, I adore comics.",,4,4,BandSAboutMovies,https://www.imdb.com/user/ur69172350/?ref_=tturv_usr_31_t,18-Feb-23,Spoiler
5,/10,https://www.imdb.com/review/rw8890389/?ref_=tturv_perm_32,It was like a slap to the face...,"I initially didn't really want to waste a cinema admission ticket on watching ""Ant-Man and the Wasp: Quantumania"", but since my family were venturing out to watch it, I tagged along.And I have to say that the storyline in ""Ant-Man and the Wasp: Quantumania"", as written by writers
Jeff Loveness and Jack Kirby, was just rubbish. It was such a far out there storyline that it was near impossible to take serious. Luckily the movie was kept afloat by the over-the-top and impressive CGI special effects.The acting performances in ""Ant-Man and the Wasp: Quantumania"" were good, and they definitely had a good and solid cast ensemble for the movie, with the likes of Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Jonathan Majors, Kathryn Newton, Kathryn Newton, Bill Murray and Corey Stoll.The special effects, wardrobe and props are off the charts in ""Ant-Man and the Wasp: Quantumania"", but then again, that is the case with all Marvel movies, now isn't it? And it was, at least for me, this that made the movie bearable to sit through.I found ""Ant-Man and the Wasp: Quantumania"" to be a waste of 124 minutes, and it was a rather weak addition to the Marvel line of superhero movies, almost as weak as the ""Black Panther: Wakanda Forever"" movie. I know that I am not returning to watch director Peyton Reed's 2023 movie ""Ant-Man and the Wasp: Quantumania"" a second time, because the storyline just didn't latch onto me.My rating of ""Ant-Man and the Wasp: Quantumania"" lands on a bland five out of ten stars.",4,9,paul_haakonsen,https://www.imdb.com/user/ur22654354/?ref_=tturv_usr_32_t,24-Feb-23,
7,/10,https://www.imdb.com/review/rw9069572/?ref_=tturv_perm_33,"""You're out of your league, Ant-Man.""",,2,2,classicsoncall,https://www.imdb.com/user/ur2707735/?ref_=tturv_usr_33_t,21-May-23,Spoiler
5,/10,https://www.imdb.com/review/rw8890930/?ref_=tturv_perm_34,Ant-Man and the Wasp: Quantumania,,2,4,jboothmillard,https://www.imdb.com/user/ur4248714/?ref_=tturv_usr_34_t,25-Feb-23,Spoiler
