ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__text,ipc-voting__dot-separator,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-btn__text
6,/10,https://www.imdb.com/review/rw9919299/?ref_=tturv_perm_11,LFG!,,Helpful,•,11,31,ferguson-6,https://www.imdb.com/user/ur0806494/?ref_=tturv_usr_11_t,24-Jul-24,Spoiler
9,/10,https://www.imdb.com/review/rw10045760/?ref_=tturv_perm_12,Deadpool at its best.,"First of all let me state Deadpool is my favourite Marvel character so I might be a bit biased here. I just enjoy his foul blabbering a lot and Ryan Reynolds is just perfect to play that character. Deadpool and Wolverine together, that was just a great combination, the constant bickering between them is just highly entertaining. Hugh Jackman is also perfect to play the always grumpy Wolverine. In addition you get tons of other Marvel characters in a story fuelled by perfectly choreographed action scenes. I mean it's impossible to get bored with a movie like this one, there is just too much good stuff going on. Great cinematography. I'm already waiting for the next Deadpool, can't get enough of it.",Helpful,•,5,4,deloudelouvain,https://www.imdb.com/user/ur58525162/?ref_=tturv_usr_12_t,3-Oct-24,
10,/10,https://www.imdb.com/review/rw9931467/?ref_=tturv_perm_13,Let's f'ng go,"This had everything that I wanted and more. It is likely to bring the MCU back to profitability, not that it ever truly struggled that much artistically. Disney did not tone this down, it is just as violent, raunchy and otherwise delightfully offensive as the first two. There is definitely a lot of fanservice but all of it works in context and it doesn't feel like pandering. Unlike the Fox X-Men movies, no character just gets lost in the background, everyone gets strong moments. The titular duo are incredible together. This delivers a lot of what we want from the comics and the movie series that it combines.The comedy targets absolutely everyone and is constantly laugh out loud funny; everything is fair game. There's a good mix of different types of jokes, so it never risks getting stale. You never know exactly what you're going to get next. The film definitely does have some issues due to being basically several things at once, similar to Dr Strange 2 and No Way Home. Sequels to highly successful entries, trying to do specific new story lines, follow up on stuff that wasn't even hinted at in its predecessor, and deliver multiversal shenanigans. This fares better by combining these things and tying it all directly into the plot in a very natural way. The villain is quite fun. Everyone feels like they're just jazzed to be on the show, man. 10/10.",Helpful,•,10,7,TBJCSKCNRRQTreviews,https://www.imdb.com/user/ur2093818/?ref_=tturv_usr_13_t,31-Jul-24,
10,/10,https://www.imdb.com/review/rw9929360/?ref_=tturv_perm_14,Huge fun,,Helpful,•,6,5,neil-476,https://www.imdb.com/user/ur7813355/?ref_=tturv_usr_14_t,30-Jul-24,Spoiler
,,https://www.imdb.com/review/rw9922755/?ref_=tturv_perm_15,See it on the biggest screen with the loudest sound system and thank me later.,"DEADPOOL & WOLVERINE (2024) ***1/2 Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Morena Baccarin, Rob Delaney, Leslie Uggams, Jon Favreau, Aaron Stanford, Tyler Mane, Karan Soni, Briana Hildebrad. Marvel's meta-mouth mere and X-Men's ultra bad-ass (re)unite for the first time in this mind-bending, universe paralleling action packed adventure dealing with multi-time lines, kicking ass & general debauchery. Gleefully over-the-top & fourth wall shattering the DynamicDuo of RL besties Reynolds & Jackaman is nothing but pure cinematic bliss with its balls-to-the-wall graphic carnage, side-mouth quips and bone-crunching destruction to the hilt deliver the, well, marvelous goods. Chock block with cameos & an '80s power groove jukebox soundtrack. See it on the biggest screen with the loudest sound system and thank me later. (DIR: Shawn Levy)",Helpful,•,5,6,george.schmidt,https://www.imdb.com/user/ur0937743/?ref_=tturv_usr_15_t,26-Jul-24,
6,/10,https://www.imdb.com/review/rw9994292/?ref_=tturv_perm_16,Throw everything at the wall and see what sticks.....,,Helpful,•,1,2,FlashCallahan,https://www.imdb.com/user/ur22668817/?ref_=tturv_usr_16_t,4-Sep-24,Spoiler
6,/10,https://www.imdb.com/review/rw9932677/?ref_=tturv_perm_17,The equivalent of the limbo so much of its plot takes place in.,"Sporting more cameos than a bad mobile game advert (although Pedro Pascal doesn't show up here), 'Deadpool And Wolverine (2024)' is one of the most meta movies I can think of. Frankly, it's meta to the point that it doesn't actually exist... or, at least, it feels that way. It's the equivalent of the TVA-created limbo so much of its plot takes place in: a barren, out-of-time wasteland with no discernible features other than the remnants of long-forgotten Marvel movies/ universes. It exploits its audience's nostalgia, ostensibly acting as an ode to the Fox-era of Marvel but actually just parading around the carcasses of films that only the most loyal fans remember at all, let alone fondly. You don't even have to be all that cynical to see that its various cameos and callbacks are incredibly hollow, bereft of any real narrative significance. These things are designed to be recognised, rather than admired. The joy they evoke - which I'm not immune to, by the way - fades incredibly quickly because of this, and they lose even more power when they're inevitably robbed of the element of surprise (either by the inherently one-time nature of that element or, far more bafflingly, by Marvel's marketing department themselves).By assembling itself out of only the most memorable parts of previous movies' corpses, the picture lacks any real identity of its own. Its meta elements aren't used to comment on... well, anything really. It doesn't acknowledge it's a movie so it can say anything about filmmaking, nor about the relationship between audiences and the media they consume; it doesn't point out its place in Marvel's incredibly complex multiverse to do anything other than poke fun at the very things it indulges in, while also feeling just a smidge smug. Despite its vaguely satirical elements, it's all seems a little bit self-satisfied, and it panders to its audience in a way that's sort of off-putting. It takes things fans have loved about even Marvel's least successful efforts, and the running jokes they've created about said efforts, and transforms them into a shamelessly corporate currency that can be exchanged for cold hard cash. That this film has made so much money only further suggests that audiences don't care about story if they're bombarded by things they've seen before, which will in turn cause Disney to learn the wrong lessons and cram more cameos into their now-middling franchise instead of actually putting genuine effort into the stories of its individual entries.Of course, the less pessimistic version of all this is that Marvel is simply giving its fans what they want. Whether or not it's blatantly motivated by money instead of artistic merit, it's making people happy and that's all that matters. When it comes down to it, there's a lot of truth to that. However, you can please people while still telling a compelling story. I don't think we should accept a sub-par product simply because it scratches the same itch as well-written fan-fiction. To be fair, though, the picture isn't bad. Its flaws are far more relevant in retrospect, even though there's always something that stops you from becoming fully immersed in the experience. In the moment, the flick is fairy fun. It's oddly paced, sure, but it has plenty of diverting set-pieces and unashamedly colourful sets and costumes. The action is often exciting, although it doesn't make as much use of the eponymous characters' healing abilities as I'd like. It's generally fast-paced and filled with nice little moments that showcase the skills of the characters involved. Some of the larger battle scenes are a bit hard to follow because they're really busy and quite unfocused, but even these are peppered with those aforementioned satisfying character moments. The best fight, and highlight of the overall affair, is one set in a car that sees Deadpool and Wolverine tear each other up in a confined space (the utilisation of the environment in this scene is a deciding factor in its superiority over the bouts set on an entirely flat plane). The affair isn't as funny as either of its predecessors, but there are several amusing moments and a generally light tone that keeps you in fairly good spirits throughout. Annoyingly, a lot of the jokes amount to Deadpool simply saying something that the audience understands but nobody else in the scene does, resulting moments in which the characters stand around and wait for him to finish his schtick (or, at most, tell him to shut up). Furthermore, a lot of the humour - including plenty of the visual gags - relies on information only the most die hard fans will possess. Even the best cameos (which, for me, were the ones I didn't know were coming) sort of just happen and then disappear, fairly regularly being dismissed as a form of shock comedy.Although I spoke earlier about how the film has nothing going on beneath its surface, it does try to evoke some pathos from the (very basic) arcs of its two titular characters. The problem is that we've already seen both of them go through almost the exact same emotional journey, and one of those was in 'Logan (2017)' which is so much better than this on every conceivable level that it's almost embarrassing. The most saccharine moments try to cash in on an emotional connection that the picture simply hasn't taken the time to establish, so they end up feeling really false. There's very little emotionality here, despite some commendable work from the lead actors, and the earnestness of the affair is actually somewhat jarring; it doesn't gel with the typically sardonic tone you expect from Deadpool. Still, it's worth hammering home just how good Ryan Reynolds and Hugh Jackman are here. This is definitely Reynolds' best character, and it's always a treat to see Jackman (doubly so when he's donning his iconic claws). They do exactly what they need to, making a fairly convincing double act in the process. I just wish they actually got something to sink their teeth into, that their much-awaited team-up wasn't also a multiverse movie concerned more with mining IP than building a narrative of its own. Without them, though, there's no way this would even get made, let alone be as good as it is. The supporting players all do well with what they're given, it's just that they aren't given all that much.Ultimately, the movie is generally fairly fun but undeniably rather empty. It mostly makes good use of its R rating (it's a visceral treat to see its characters tear their enemies - and each other - apart and cuss them out while they do it), even if it doesn't exactly tell a mature tale. There's a sense that it isn't really anything, other than a collection of moments designed to make you point at the screen and say ""I remember that!"", but it also works well enough as light entertainment that I won't begrudge anyone who says they truly enjoy it. Heck, I even enjoy it (even if it doesn't seem like it). I just don't know how much. It's tempting to say that it's all set up for something later down the line, but it isn't even that really. It's just this bizarre artefact that encapsulates where the movie industry is at the moment, an uncertain time where studio heads seem to be as chronically online as their franchises' most passionate fans and continue to pander in an effort to make more money. As soulless as it may be (despite the genuine care put into it by many of its creators), it is entertaining fluff with some energetic action and a couple of solid (if rather one-note) lead performances. It's good, but it's by no means great. I wish it did more with its premise.",Helpful,•,6,4,Pjtaylor-96-138044,https://www.imdb.com/user/ur26820801/?ref_=tturv_usr_17_t,1-Aug-24,
10,/10,https://www.imdb.com/review/rw9950426/?ref_=tturv_perm_18,Great seeing Wolverine and this Deadpool in a film together.,"I realize that they have been in a movie before, depicting the same characters, though with Deadpool he was sort of the same character. Now, however, we get to see the highly comedic version with Wolverine who is still a bit grouchy and do we see some blood spatter. So, it all was great for me as the first Deadpool we got to see how easily a Colossus can be done correctly, in the second how easily a correct Juggernaut can be and in this one, we get to see how easily it is to have Wolverine in the correct outfit! In fact, it was probably the easiest to do. So, I had a good time, have not been to the movies since The Batman and my comic book streak is alive, but I really saw this more for Ryan and Hugh. Did not care for the Marvel cinematic universe, they kind of said they did not need me as a fan anyways, but I still came to see this one because of the wacky comedy, glorious violence and the multiple cameos, so I was not disappointed.So, the story has Deadpool in a bit of a rut as he tries to do something to really shine. He tried to join the Avengers and got shot down and was told by Happy Hogan (who I am sure they wanted Tony Stark for this) to aim lower in life so Wade becomes a very bad car salesman. However, his friends throw him a birthday party that does cheer him up, and then he learns that his universe is about to become extinct. Now he most don the Deadpool costume and find Wolverine, because it was the death of Wolverine in his universe that set its death in motion. Unfortunately, they get sent into The Void, which is like a garbage dump of people run by Charles Xavier's sister who is very eccentric. They must team with other superheroes that were tossed aside and make their way back to Wade's universe before it is destroyed!Hugh Jackman and Ryan Reynold's are great together and make this an enjoyable film. The plot is understandable, if not all that important as it is multiverse stuff, and Deadpool himself craps over the multiverse within this movie! Hugh looks great, the guy knows how to look good for his role and it will be nearly impossible to replace him with another actor, as you just associate him with it. Ryan is, of course, very funny and he just does a very good Deadpool. The villain, Nova was good as well, so crazy and kind of cute at the same time. I will not mention the other characters in this, because I do not want to spoil if for anyone, I knew of one, but more than a couple surprised me.So, this was a nice time at the movies. I suffer from severe depression so I literally cannot see films that have really depressing moments and such. This one had some serious scenes here and there, but thankfully Wade is known for his mouth so it pulls everything back into the light very quickly. My mother went with me to see this and even she really enjoyed it, she especially liked Dogpool....",Helpful,•,3,3,Aaron1375,https://www.imdb.com/user/ur1111192/?ref_=tturv_usr_18_t,12-Aug-24,
8,/10,https://www.imdb.com/review/rw10066856/?ref_=tturv_perm_19,"A delightful parody, but that's basically it","In a world where everybody is tired of superheroes taking themselves dead seriously while wearing fancy pajamas and stories that seem to be made by ChatGPT, here comes Marvel Jesus to save it all. But he really doesn't, because while the movie is lighthearted, well acted, lovingly written, it is essentially a parody of everything Marvel without actually having a story or a world itself. Case in point, my wife, who has seen most of the referenced Marvel movies and series, but is not into the lore, did not like the movie and didn't laugh at most of the jokes. The end credit scenes even show a lot of old footage and behind the screen of the films that this movie is making fun of, which really feels like a good bye. ""We can't believe we pooled it off (pardon the pun), but it's probably the last one you'll see"". It felt like those scenes where old friends laugh together about the past while one of them is dying.In fact I think I got exactly why a lot of people liked the film, but felt something was off. It's not a Deadpool movie, but a Ryan Reynolds movie, in the sense that it wasn't the Deadpool character breaking the fourth wall, it was Reynolds playing himself dressed as Deadpool with a lot of actor friends. It if practically impossible to get invested in the world building because there is none. It's just bits and pieces of others. There is no fourth wall to be broken, it's all an in-joke. I guess the multiverse strikes again.Bottom line: I had a lot of fun and laughed my ass off a few times, but this film shows both the incredible power comic stories have and their greatest weakness: you mix them up long and hard enough and you can't find anything to relate to. In the end, it's the new stories that will matter, the new characters that you fall in love with.",Helpful,•,3,3,siderite,https://www.imdb.com/user/ur3146136/?ref_=tturv_usr_19_t,13-Oct-24,
9,/10,https://www.imdb.com/review/rw10019550/?ref_=tturv_perm_20,This film deserves a high rating for having lots of Heart.,"DEADPOOL & WOLVERINE teaches young viewers that there MAY be some Good to be found in anyone. Clearly, this Truth does not apply to everyone. Minions in the thrall of Evil Manipulators perish by the dozens here, usually to a really snappy musical number. Deadpool and Wolverine can be seen as lethal instruments of mass mayhem in and of themselves, but the plot of this story makes it clear that drastic times may require drastic measures. Furthermore, this saga illustrates the fact that True Heroes may not immediately rush in where most angels fear to tread. Many overwhelming problems will require thoughtful consideration prior to confronting them, during which time period the foolhardy may flame out like so much chaff. However, this big screen offering honors the Traditional Family Values for which its releasing studio is so well known.",Helpful,•,2,8,pixrox1,https://www.imdb.com/user/ur40512810/?ref_=tturv_usr_20_t,19-Sep-24,
5,/10,https://www.imdb.com/review/rw9924135/?ref_=tturv_perm_21,"Disjointed storyline, lacking in natural flow of dialogue and falling short in actors chemistry and good jokes.","I truly adored the second edtion (which was absolutely brilliant) and therefore I had high hopes for this 3rd sequel...The bad: There is definitely a lack of good dialogue and the story is all over the place. I couldnt make sense of it. There is also a lack of good character's chemistry. It's just off. It doesnt flow like the second edition did with ease. And without a good flow and solid characters that I can relate to, without all that even some of the better jokes dont land. They fall flat.What's left? A ton of nonstop bloody action, a lot more than the previous editions. And I get BORED by endless bloody fights just for the sake of trying to impress with CGI effects.It's not a terrible movie for sure, but the editing is overkill with it's constant fast cuts (even in talking scenes). Not letting the characters TALK and INTERACT with each other at a more natural pace, like the second edition did that is a big let down for me.This 3rd sequel didnt surpass the brilliant second edition I am disappointed to say. It was quite underwhelming to watch this latest 3rd sequel.I wont recommend it to my friends and family like I did do with the brilliant second edition. Not terrible, but quite underwhelming...",Helpful,•,10,10,imseeg,https://www.imdb.com/user/ur84924605/?ref_=tturv_usr_21_t,27-Jul-24,
10,/10,https://www.imdb.com/review/rw9924988/?ref_=tturv_perm_22,Such a blast of fun!,"Saw in RPX earlier today it was pure gold easily the best of the 3 Deadpool's! I'm so glad Shawn Levy mastered this I was concerned since he mostly has done PG-13 films which are great but he's done one R-Rated film; he perfected Deadpool & Wolverine in the best way possible. So much great humor, exceptional action, amazing story, and exceptional entertainment value. One of my favorite things is how Ryan Reynolds's was in Blade Trinity and there's a great surprise origally that's when Deadpool was talked about I love the connections so much. This deserves all the praise one of the most satisfying action/comedies in a long time and glad I was around an excellent audience.Watched again in IMAX on 8-6-24 even more satisfying and so well made - I love everything about this movie!",Helpful,•,3,5,UniqueParticle,https://www.imdb.com/user/ur34836174/?ref_=tturv_usr_22_t,27-Jul-24,
